t,totalmass,massrate
13.82,19.9177383700223,1.26884101792196
13.83,19.9233648418277,0.5626471805421
13.84,19.933699272549,1.03344307212867
13.85,19.9492996408762,1.56003683272349
13.86,19.9699685023188,2.06688614425735
13.87,19.985568870646,1.56003683272349
13.88,19.9919523456438,0.638347499777951
13.89,20.0103457674448,1.839342180098
13.9,20.0232742271375,1.29284596927558
13.91,20.0482492285802,2.49750014427056
13.92,20.1002002165465,5.19509879662342
13.93,20.1454835452323,4.52833286858063
13.94,20.2027430758274,5.72595305951089
13.95,20.2551337979627,5.23907221353758
13.96,20.2924404452964,3.73066473336339
13.97,20.3583513507085,6.5910905412119
13.98,20.4501582200574,9.18068693488956
13.99,20.5165516741011,6.6393454043707
14,20.6097609252778,9.32092511767047
14.01,20.6731235164992,6.33625912214215
14.02,20.7811351077995,10.8011591300321
14.03,20.8382302786446,5.70951708450607
14.04,20.8905793156154,5.23490369707863
14.05,20.9186287047616,2.80493891462477
14.06,20.9226582003015,0.402949553984665
14.07,20.9226582003015,0
14.08,20.9226582003015,0
14.09,20.9226582003015,0
14.1,20.9226582003015,0
14.11,20.9226582003015,0
14.12,20.9226582003015,0
14.13,20.9226582003015,0
14.14,20.9226582003015,0
14.15,20.9226582003015,0
14.16,20.9226582003015,0
14.17,20.9260092324653,0.335103216382756
14.18,20.931035780711,0.502654824574134
14.19,20.9380977190848,0.70619383737986
14.2,20.9430457275142,0.494800842940191
14.21,20.9453997069722,0.235397945793287
14.22,20.9602430721071,1.48433651348764
14.23,20.9845433800849,2.4300307977868
14.24,20.9993867452198,1.48433651348764
14.25,21.0102791546312,1.08924094113692
14.26,21.0404834987331,3.02043441019045
14.27,21.0578798678282,1.73963690950853
14.28,21.075077212421,1.71973445928093
14.29,21.1000934985799,2.50162861589664
14.3,21.1397541253715,3.96606267915667
14.31,21.1867571049083,4.70029795368323
14.32,21.2172008383704,3.04437334621113
14.33,21.2780470205784,6.08461822079619
14.34,21.3372176867044,5.91706661260481
14.35,21.3907215161671,5.35038294626963
14.36,21.459866078815,6.9144562647862
14.37,21.5419391011556,8.20730223406178
14.38,21.594487822782,5.25487216263917
14.39,21.6905642371843,9.60764144022784
14.4,21.7837712984615,9.32070612771896
14.41,21.8861939327614,10.2422634299979
14.42,21.9283671986553,4.21732658938449
14.43,21.9484765013961,2.01093027408246
14.44,21.9484765013961,0
14.45,21.9484765013961,0
14.46,21.9484765013961,0
14.47,21.9484765013961,0
14.48,21.9484765013961,0
14.49,21.9484765013961,0
14.5,21.9484765013961,0
14.51,21.9484765013961,0
14.52,21.9484765013961,0
14.53,21.9484765013961,0
14.54,21.9484765013961,0
14.55,21.9518275335599,0.335103216382756
14.56,21.9676269263894,1.5799392829511
14.57,21.9787183603031,1.10914339136452
14.58,21.9885358373456,0.98174770424644
14.59,21.998353314388,0.98174770424644
14.6,22.0075702077175,0.921689332945541
14.61,22.0169861255492,0.941591783173146
14.62,22.0304315389208,1.34454133715781
14.63,22.049664933795,1.92333948741959
14.64,22.0666228890276,1.69579552326024
14.65,22.0995821116448,3.29592226172409
14.66,22.1274318161355,2.78497044906423
14.67,22.1746344803279,4.72026641924377
14.68,22.2213943005933,4.6759820265444
14.69,22.2724618408706,5.10675402772426
14.7,22.3186636824459,4.62018415753615
14.71,22.3679802765828,4.93165941368344
14.72,22.4194944306982,5.15141541154177
14.73,22.5132206355537,9.3726204855527
14.74,22.5925425492902,7.93219137364628
14.75,22.6928137388407,10.0271189550503
14.76,22.7729308307279,8.011709188723
14.77,22.8516947657743,7.87639350463803
14.78,22.9044828767609,5.27881109865986
14.79,22.9462580936502,4.17752168892928
14.8,22.95028758919,0.402949553984665
14.81,22.952641568648,0.235397945793287
14.82,22.952641568648,0
14.83,22.952641568648,0
14.84,22.952641568648,0
14.85,22.952641568648,0
14.86,22.952641568648,0
14.87,22.952641568648,0
14.88,22.952641568648,0
14.89,22.952641568648,0
14.9,22.952641568648,0
14.91,22.952641568648,0
14.92,22.952641568648,0
14.93,22.9583465802697,0.570501162176043
14.94,22.9694380141834,1.10914339136452
14.95,22.9764999525572,0.70619383737986
14.96,22.9859158703889,0.941591783173146
14.97,22.9916208820107,0.570501162176043
14.98,23.0017562882297,1.01354062190107
14.99,23.0152017016012,1.34454133715781
15,23.0448853221131,2.96836205119007
15.01,23.0842280197282,3.93426976150205
15.02,23.098392921487,1.41649017588573
15.03,23.1160293400956,1.76364186086215
