time,Fx,Fy,Fz
1.66,1.68371616519095,-34.8746966684177,-156.686262428432
1.67,1.99605282508008,-32.9884209141117,-159.153270887209
1.68,2.63716366454261,-36.0657983168512,-155.553216216344
1.69,1.22240035946858,-31.3127563997251,-145.448240583733
1.7,2.25692246240405,-32.5411570643183,-154.390019488749
1.71,1.85989120745727,-36.1907689293982,-146.83104930663
1.72,1.06687946733772,-32.7474295553009,-148.985986185859
1.73,2.78622425227656,-33.0884981145745,-160.811742441054
1.74,1.92157746719934,-34.6410254626007,-161.696208477638
1.75,3.2679525641182,-30.5949684265783,-145.62915462903
1.76,1.84333426936079,-32.2052866567572,-148.297598011255
1.77,0.928869502156433,-35.0789627584165,-160.104286868225
1.78,0.806111332475721,-30.4030285142454,-153.849167201664
1.79,2.82767292118253,-33.440078615638,-154.46239445188
1.8,3.30041001336404,-33.5278716232801,-158.418041628175
1.81,0.96306540683979,-29.5089696219303,-149.586544959089
1.82,0.39765480796322,-32.8634683482205,-149.361476523774
1.83,2.63275768761605,-34.9442183524558,-165.318125419914
1.84,2.2687659228251,-27.3345028215079,-134.753238818892
1.85,3.92332702785786,-18.8599915447605,-102.885774912743
1.86,3.3449395480276,-31.4823045849415,-153.594842900525
1.87,0.585533325544823,-36.3253248730683,-167.1724500873
1.88,2.16038856817611,-32.2378773947222,-182.288871749996
1.89,-0.167132636689374,-27.530353050529,-167.110688539616
1.9,1.87931974660837,-31.8547062069167,-146.339354073146
1.91,3.30494204696962,-30.7903567274534,-151.563477371363
1.92,3.01631443769992,-29.3776630822168,-150.847624407636
1.93,0.313698332031454,-31.2173018622218,-155.027593450254
1.94,-0.106337849752257,-27.7241569104713,-153.974816483038
1.95,4.95704667572215,-30.1415575842968,-163.798862267427
1.96,1.40365749988297,-30.2785352365148,-156.437925798356
1.97,1.49211944535783,-29.5892536712497,-161.438973101333
1.98,2.25472158823034,-28.735199456244,-145.86315785053
1.99,2.05113649491238,-28.5319321848663,-171.321794857455
2,2.72518559648616,-29.6968649204371,-151.596795453146
