time,Fx,Fy,Fz,Mx,My,Mz
10.97,-16.4609744545552,991.844781541708,-31.9203118363138,-53.6081124994156,2.14073493660075,0.790367013143886
10.98,-9.28645280227658,1038.60446132132,-8.26703135177423,-56.6965000602726,3.414187050539,0.0877138908969217
10.99,-13.6696793394952,1083.89164127768,12.49574148496,-60.2023053020242,1.31780288117465,0.0385765552474055
11,-21.4207922429239,1055.50960199498,41.2214627900532,-61.7348551283578,3.1101774184737,-2.26218108055159
11.01,-14.3375913877943,1103.86034709482,132.688279947236,-68.6915607934871,0.417786624854194,-7.31259416846925
11.02,-11.6017008174396,1020.1768831153,70.6919457477704,-57.9855501184131,-3.82675502216533,-4.55691282140627
11.03,2.61623124837675,972.290576759104,169.77465317182,-63.1476559739512,-2.24914579947998,-3.79015539256284
11.04,13.8446097395142,965.607264086278,155.209368971597,-63.7494927015684,-3.19598694652545,-1.15027110915735
11.05,2.17824625713369,1017.46465233187,189.113602747224,-66.705055616429,-1.48460768191432,-5.18298601756637
11.06,-11.0200957758802,1163.6316477612,227.461210709719,-76.5050242900853,-3.49092191029024,-9.96034765436563
11.07,-4.64604659226425,1252.95930116715,226.242239589793,-78.0840965652848,-7.77244573950819,-13.9163432771009
11.08,-7.94460367836953,1313.87732364848,135.523290537161,-70.419295952307,-15.7699049590319,-12.8198630359371
11.09,-19.093588061983,1315.47698451784,127.823784154963,-66.7648569493497,-16.8725556241649,-6.35671681764259
11.1,-29.1993133019796,1294.18892210751,147.653888119146,-66.7605444281827,-10.4999246689688,-2.5905458241093
11.11,-35.9200292277023,1280.59845973384,153.239643348413,-65.1542571723278,-8.86076952419119,-2.99516153925501
11.12,-31.6431794628008,1179.6616835735,40.9025985766723,-51.1565394117526,-11.7281706719404,-3.23605562493143
11.13,-30.786571599612,834.381197071271,116.792489654981,-48.2081189459767,-2.36349115809655,14.3555934659817
11.14,-35.2934250319411,657.264899397064,115.159566294825,-46.3050445498693,-3.56991110626288,-2.16362499723765
11.15,-18.5718200911401,593.952541606529,52.9872776434018,-40.6989168015018,-2.61963351595913,-2.09608497562881
11.16,-8.39542992170492,570.066828145423,24.2058451448052,-38.556111829748,-2.01253022353007,-0.795653711190553
11.17,0.336143880735868,519.636290288939,-16.2598358977523,-34.6226749434711,-0.778871814502494,-1.03226893820467
11.18,5.27575762134587,427.598699530693,-49.5317003509042,-27.5877215009443,-0.132841346703933,0.368435871352905
11.19,-9.05737829545407,333.29762508997,-97.7397032495086,-21.8352850105954,-2.8621802363561,0.691241816048418
11.2,-7.4383101092756,347.091046947712,-110.710441846752,-24.1421844286697,-1.66525439083585,0.67062802921867
11.21,-6.4084471204333,384.621418610825,-149.412458828994,-26.970966819667,-2.25233814125831,0.220935288397781
11.22,-13.4242532077798,299.65679109632,-170.456895449372,-21.0283703712107,-2.50924849877825,-1.14888136485679
11.23,-16.0377877047554,326.348628749373,-185.017405958365,-23.8586346392735,-2.20506984266669,0.194496296519592
11.24,-18.5679686148917,365.613784490284,-164.115783662216,-27.5715120997277,-2.18812801904654,0.924064555259755
11.25,-17.6751973275538,379.138901218434,-137.612926702572,-27.5154814476068,-2.24503960813177,2.39099677394878
11.26,-8.62701725493378,366.339956558998,-112.4763056951,-26.2166624268349,-1.45138854887029,1.58227920351573
11.27,-3.8451897629735,374.203297937722,-92.8356770805397,-26.2765540608665,-1.52174673252205,1.67156589141573
11.28,4.28291383174589,415.957038738687,-83.5343340779947,-29.664456928177,-0.610562299483568,2.19054106397873
11.29,11.118240923672,467.089502822357,-68.6369220590663,-33.5806571631196,0.365423090716428,2.37132195971957
11.3,11.4914694905979,524.819249458879,-74.7375963186661,-37.2339878586335,-0.230798440649677,2.64993776712941
11.31,-7.06472946895443,543.385004613842,-68.533764109748,-38.0536060794531,-2.12731322161551,1.03990726242056
11.32,-0.979652761462935,541.457219412827,-41.54044483977,-37.2681850065107,-1.80647969336474,-0.833608625796886
11.33,-7.41965151127779,580.43538921648,-9.53495221729784,-40.8685841026939,-2.4217743620138,-2.02219811950489
11.34,-8.276692597402,612.71764655527,-2.7918534274945,-42.4370817678431,-1.87091412092687,-2.9667494034596
11.35,-4.19144412901464,626.914488522395,6.67320156323079,-42.3984844031595,-0.313647739036243,-2.81178772152218
11.36,-0.702424638255508,633.613019294629,1.84618411880441,-41.7689285710379,0.348938182545278,-3.33127236241175
11.37,-0.606229088474108,615.582209211102,1.23754000171063,-39.8360237647135,-1.15326352598327,-2.16847149837695
11.38,-4.56478141024651,604.174245821218,23.526713440572,-40.5104061062068,-0.793163574127872,-0.335381603070105
11.39,-3.24872980599953,641.925608917644,65.1248541728265,-44.6997128237703,-0.759807653246166,0.898281593433921
11.4,-4.02596572744906,669.997870697606,87.9810637184583,-46.7290012734294,-1.24441935461586,0.0621185479183535
11.41,-9.46440572147982,722.465943506491,110.425013376205,-51.3491552601203,-1.24953665530174,-1.0602579355574
11.42,-19.8552882904965,804.068732516237,133.662186382367,-58.0629405182483,-1.27244062260225,-4.04833127422733
11.43,-17.0592530784519,873.310559782836,186.635196072124,-62.5584663948127,-1.74079122880217,-1.08517596424294
11.44,-16.3913483233161,982.536100532471,227.960638702283,-71.4260654945979,-1.89889797638243,0.657456970756864
11.45,-1.50413706528619,1031.70959432983,210.54318435429,-69.2518317447206,0.946854871760814,2.96579231550493
11.46,-0.204953253902105,1098.38097844498,205.671785061941,-70.0904585696634,3.90024516243444,-0.242460744134359
11.47,-5.82031721439085,1090.61079389077,118.314080437188,-61.2154650803635,-3.93879872153548,4.20726232776681
11.48,-6.63059320028589,1138.89186801997,149.281686474208,-64.8750766017235,-2.92630032758243,3.50023077371787
11.49,0.00645695244449596,1152.59773088223,128.883949296561,-65.6232458432342,-1.67012307344615,1.4875585119475
11.5,3.61354065362889,1002.68805893818,148.190592296671,-62.2074632026709,-3.26638584409461,-15.0691709414592
11.51,7.19631851743458,993.3688799842,65.7545667089522,-56.8583418338119,-9.06967844758061,-13.5033063112478
11.52,-7.70334641011965,811.459274036253,107.491018366031,-56.02220033085,-2.54110798404089,-4.14534937425299
11.53,-27.9504250069466,676.488821319515,19.2774593781986,-43.3216476596566,-5.28939938822555,1.73132280809329
11.54,-32.7027040495177,531.277899202725,-5.87744700129724,-32.5540432549548,-5.19035590668539,2.32657236666194
11.55,-34.2900192073337,483.972181458912,-19.7838750541194,-29.9528880164696,-5.23297265455117,2.93409488271493
11.56,-32.0582363496163,439.924075523489,-37.6699801551111,-27.0148155735764,-4.43510345605956,2.16189986623081
11.57,-30.4142523140784,418.575777096507,-45.3451187287648,-26.9093842717684,-4.61672424045999,1.93875136249452
11.58,-26.9170838970052,397.79713138928,-76.5032995145409,-26.0853740573993,-5.09071580650142,-0.475327043040518
11.59,-22.8441627615051,375.66913788638,-117.572127546176,-25.4933639752429,-4.8012862687962,-3.44214851541414
11.6,-13.6305294913686,385.007384134726,-164.18212484043,-24.4881679671405,-5.49269126101489,-5.18828446197376
11.61,-17.3097804862444,365.591173998762,-203.972309511883,-21.7533503936262,-8.03740566428366,-4.52226853045002
11.62,-13.40670563674,369.193108043311,-196.106865275727,-20.8276666962383,-8.08797384700956,-4.11732019230461
11.63,-17.9433724065857,387.317181503404,-185.056885121879,-21.3391884525652,-8.8532254417079,-5.97662683073397
11.64,-22.7695158742223,397.847867053386,-161.887789854926,-21.6232007853832,-9.70937825904914,-6.35310148644106
11.65,-28.9906801463594,429.837964275763,-155.701040014243,-23.167032350763,-10.9450758460091,-6.69307413007944
11.66,-30.1929591547065,453.866617832168,-153.816700533806,-23.8419007134203,-13.6859368063371,-5.75283740016767
11.67,-32.8610574996543,457.853438302952,-135.750626844907,-24.7345014694558,-13.6012873041412,-1.9869684071462
11.68,-34.8422883470541,442.946578931875,-40.5596437336735,-30.7387963263451,-3.19255118197459,0.493755076364822
11.69,-33.2261061902308,472.65366043065,-24.6051060489905,-32.7806143543989,-2.6774371844007,-1.41772302333196
11.7,-32.2382373076696,496.123049432546,-9.948129706778,-34.8324721859799,-2.58845056317204,-3.27115001985855
11.71,-24.8794419983617,555.253983842238,-2.05978670376099,-39.0521634075281,-3.51826704470696,-0.827469656593769
